frame,tx_px,ty_px,phase_response
0,-0.0,-0.0,1.0
1,-0.0,-0.0,-0.0010917566437849107
2,-0.0,-0.0,0.00655048913149922
3,-0.0,-0.0,0.012046105504311897
4,-0.0,-0.0,-0.0041045015677809715
5,-0.0,-0.0,-0.004353171892832091
6,-0.0,-0.0,0.00017432985758339918
7,-0.0,-0.0,0.005260173031588856
8,-0.0,-0.0,0.0014428406907820406
9,-0.0,-0.0,0.00864352212563433
10,-0.0,-0.0,0.006559590136425363
11,-0.0,-0.0,0.00033178886996559155
12,-0.0,-0.0,0.006398485438829219
13,-0.0,-0.0,0.005139291033516695
14,-0.0,-0.0,0.008263033941204164
15,-0.0,-0.0,0.003523259630633725
16,-0.0,-0.0,0.0057471313939234355
17,-0.0,-0.0,-0.0008906211106129634
18,-0.0,-0.0,0.0032762138081001645
19,-0.0,-0.0,-0.0038552522245380613
20,-0.0,-0.0,0.006849803705987187
21,-0.0,-0.0,0.013214622928910418
